Account,Action,Campaign,Location
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Wirral, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Liverpool, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Birkenhead, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Wallasey, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Bebington, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Heswall, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Chester, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Ellesmere Port, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Bromborough, England, United Kingdom"
189-482-0480,Add,4for99 - Search - Merseyside & Cheshire,"Neston, England, United Kingdom"
